prestashop_product_id,shobi_code,inspired_by,original_brand,original_perfume,identity_status,fragrantica_status,fragrantica_id,fragrantica_url,social_card_url,local_path,card_status,bytes,sha256,error
4203,2468-ESPAR,BOIS IMPERIAL - ESSENTIAL PARFUMS,Essential Parfums,Bois Impérial,CONFIRMED,FOUND,64338,https://www.fragrantica.com/perfume/Essential-Parfums/Bois-Imperial-64338.html,https://fimgs.net/mdimg/perfume-social-cards/en-p_c_64338.jpeg,fragrantica-scraper-archive/social-cards/images/4203_2468-ESPAR_64338.jpeg,EXISTS,102276,0c855db17757cc2fd8c89558d69d41bee452d573fcd7ed8610cfa6b13c7331ef,
4202,2467-NISH,EGE / ΑΙΓΑΙΟ - Nishane,Nishane,Ege,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4201,2462-YZLO,LIBRE FLOWERS & FLAMES,Yves Saint Laurent,Libre-flowers-flames,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4200,2463-GUC,Flora Gorgeous Orchid,Gucci,Flora-gorgeous-orchid,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4199,2465-PAC,STRONG ME,Rabanne,Strong Me,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4198,2464-ZAD,THIS IS REALLY HIM - ZADIG & VOLTAIRE,Zadig  Voltaire,This-is-really-him,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4197,374-TMFO,,,,NON_APPLICABLE,NOT_APPLICABLE,,,,,NO_CONFIRMED_ID,,,
4191,2466-ELIZ,,Elizabeth Arden,White Tea,CONFIRMED,FOUND,42439,https://www.fragrantica.com/perfume/Elizabeth-Arden/White-Tea-42439.html,https://fimgs.net/mdimg/perfume-social-cards/en-p_c_42439.jpeg,fragrantica-scraper-archive/social-cards/images/4191_2466-ELIZ_42439.jpeg,EXISTS,94728,4edbdb200b0ab1665217b4015d22d8b3cf709cd9e521e74dac2d5061b2a4327f,
4190,2459-MAN,SAHARIAN WIND - MANCERA,Mancera,Saharian-wind,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4189,2460-PAC,OLYMPEA PARFUM,Rabanne,Olympea-,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4188,2461-BOD,BLACK MUSK NIGHT BLOOM - BODY SHOP,The Body Shop,Black-musk-night-bloom-eau-de-toilette,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4187,2456-PAC,MILLION GOLD,Rabanne,Million-gold,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4186,2455-YZLO,BLACK OPIUM OVER RED,Yves Saint Laurent,Black-opium-eau-de-parfum-over-red,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4185,2454-KIL,CAN'T STOP LOVING YOU - KILIAN,Kilian,Can-t-stop-loving-you,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4184,2453-INI,NARCOTIC DELIGHT - INITIO,Initio,Narcotic-delight,CONFIRMED,FOUND,89368,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Narcotic-Delight-89368.html,https://fimgs.net/mdimg/perfume-social-cards/en-p_c_89368.jpeg,fragrantica-scraper-archive/social-cards/images/4184_2453-INI_89368.jpeg,EXISTS,106158,52a60dae4e022165d7db5ccf7e9f82e9d9a5cf24bd7098060fff4517d511e848,
4183,2451-LEL,Cedrat 37 Berlin,Le Labo,Cedrat 37 Berlin,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4182,2452-JOM,Cypress & Grapevine Cologne Intense,Jo Malone,Cypress-grapevine-cologne-intense,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4181,2450-PEN,ALULA,Penhaligons,Alula,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4180,2432-ROJ,DANGER MAN - ROJA DOVE,Roja Parfums,DANGER MAN - ROJA DOVE,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4179,2413-ARIA,THANK U NEXT - ARIANA GRANDE,Ariana Grande,Thank-u-next-eau-de-,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4178,2444-ARIA,CLOUD PINK - ARIANA GRANDE,Ariana Grande,Cloud-pink-eau-de-,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4177,2446-XER,Torino 23,Xerjoff,Torino23,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4176,2447-MARC,GANYMEDE EXTRAIT - MARC ANTONIE BARROIS,Marc-Antoine Barrois,Ganymede Extrait,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4175,2445-CAR,GOOD GIRL DAZZLING GARDEN,Carolina Herrera,Good-girl-dazzling-garden,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4174,2443-BRB,BURBERRY HER ELIXIR DE PARFUM,Burberry,Her-elixir-de-,CONFIRMED,FOUND,75968,https://www.fragrantica.com/perfume/Burberry/Burberry-Her-Elixir-de-Parfum-75968.html,https://fimgs.net/mdimg/perfume-social-cards/en-p_c_75968.jpeg,fragrantica-scraper-archive/social-cards/images/4174_2443-BRB_75968.jpeg,DOWNLOADED,100792,57ea09c8dfdc7aa84c2876374619b6266c67486aeaa4d42318d4eab407fb43ac,
4172,2441-PANTRO,,Pantheon Roma,DOLCE PASSIONE - PANTHEON ROMA,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4171,2440-MARC,ENCELADE - MARC ANTONIE BARROIS,Marc-Antoine Barrois,ENCELADE - MARC ANTONIE BARROIS,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4170,2431-ROJ,,Roja Parfums,MUSK AOUD - ROJA DOVE,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4169,2439-ZEG,,,,AMBIGUOUS,NOT_FOUND,,,,,NO_CONFIRMED_ID,,,
4168,2442-PAC,INVICTUS VICTORY ELIXIR,Rabanne,Invictus-victory-elixir,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4166,2437-MELA,,Melanie Martinez,CRY BABY PERFUME MILK - MELANIE MARTINEZ,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4165,2397-CRD,Queen of Silk,Creed,Queen-of-silk,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4164,2427-CLEA,,,,AMBIGUOUS,NOT_FOUND,,,,,NO_CONFIRMED_ID,,,
4163,2426-MARG,BEACH WALK,Maison Margiela,Beach-walk,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4162,2425-LEL,GAIAC 10 TOKYO - LE LABO,Le Labo,GAIAC 10 TOKYO - LE LABO,CONFIRMED,FOUND,6335,https://www.fragrantica.com/perfume/Le-Labo/Gaiac-10-Tokyo-6335.html,https://fimgs.net/mdimg/perfume-social-cards/en-p_c_6335.jpeg,fragrantica-scraper-archive/social-cards/images/4162_2425-LEL_6335.jpeg,DOWNLOADED,96015,ac35f75b70c5f1deaf3cdde10b6775299734d57df352cfbf083304833fe7e0ae,
4161,2424-GUR,AQUA ALLEGORIA PERA GRANITA - GUERLAIN,Guerlain,Aqua Allegoria Pera Granita,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4160,2419-BAT,PINK COCONUT CALYPSO - BATH BODY WORKS,Bath Body Works,Pink Coconut Calypso,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4159,2415-ESC,SEXY GRAFFITY - ESCADA,Escada,SEXY GRAFFITY - ESCADA,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4158,2416-HER,UN JARDIN APRES LA MOUSSON - HERMES,Hermes,Un Jardin Apres La Mousson,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4157,2429-JUL,,Juliette Has A Gun,Musc Invisible,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4156,2430-CELI,,Celine,Parade,CONFIRMED,FOUND,57918,https://www.fragrantica.com/perfume/Celine/Parade-57918.html,https://fimgs.net/mdimg/perfume-social-cards/en-p_c_57918.jpeg,fragrantica-scraper-archive/social-cards/images/4156_2430-CELI_57918.jpeg,EXISTS,97115,e4f875dfe6ca591230bbaa0a227af2ee5d57ca51cd25db41bc78fa41783399ee,
4155,2414-DIP,Ilio,Diptyque,Ilio-eau-de-toilette,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4154,2417-ACQ,ARANCIA DI CAPRI,Acqua di Parma,Arancia-di-capri,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4153,2423-ACQ,GINEPRO DI SARDEGNA,Acqua di Parma,Ginepro-di-sardegna,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4152,2418-ACQ,VANIGLIA SIGNATURE,Acqua di Parma,VANIGLIA SIGNATURE,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4151,2428-MARG,COFFEE BREAK,Maison Margiela,Coffee-break,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4150,2436-PHL,,Phlur,Missing Person,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4149,2412-LAT,YARA - LATTAFA,Lattafa,YARA - LATTAFA,CONFIRMED,FOUND,76880,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Yara-76880.html,https://fimgs.net/mdimg/perfume-social-cards/en-p_c_76880.jpeg,fragrantica-scraper-archive/social-cards/images/4149_2412-LAT_76880.jpeg,EXISTS,96252,563bac9738a4ac68776e6b6493cfeb36cc92dd8d1d6e202ceb522532639ba86b,
