prestashop_product_id,shobi_code,brand,perfume,inspired_by,reference,shobi_url,fragrantica_id,gender,season,main_notes,status,source
2738,212-CRD,,,Royal-mayfair-,,https://leparfum.com.gr/en/elegants-fragrances/212-crd-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1116,213-CRD,,,Royal Oud,,https://leparfum.com.gr/en/elegants-fragrances/213-crd-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1117,214-CRD,,,Original Santal,,https://leparfum.com.gr/en/elegants-fragrances/214-crd,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
4822,215-CRD,,,Silver Mountain Water,,https://leparfum.com.gr/en/elegants-fragrances/215-crd,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1119,216-CRD,,,Spring Flower,,https://leparfum.com.gr/en/elegants-fragrances/216-crd-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1120,217-CRD,,,the notes of SUBLIME VANILLE,,https://leparfum.com.gr/en/elegants-fragrances/217-crd-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1121,218-CRD,,,VETIVER,,https://leparfum.com.gr/en/elegants-fragrances/218-crd-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1122,219-CRD,,,Viking Eau de Parfum,,https://leparfum.com.gr/en/elegants-fragrances/219-crd-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1123,220-CRD,,,Virgin Island Water,,https://leparfum.com.gr/en/elegants-fragrances/220-crd-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1124,221-DIP,,,34 BOULEVARD SAINT GERMAIN 2011,,https://leparfum.com.gr/en/elegants-fragrances/221-dip-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1125,222-DIP,,,AMBRE,,https://leparfum.com.gr/en/elegants-fragrances/222-dip-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1126,223-DIP,,,BAIES,,https://leparfum.com.gr/en/elegants-fragrances/223-dip-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1127,224-DIP,,,Do Son,,https://leparfum.com.gr/en/elegants-fragrances/224-dip-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1128,225-DIP,,,EL EAU DES SENS,,https://leparfum.com.gr/en/elegants-fragrances/225-dip-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1129,226-DIP,,,Eau Lente,,https://leparfum.com.gr/en/elegants-fragrances/226-dip-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
