shobi_code,brand,perfume,result,fragrantica_id,fragrantica_url,candidate_brand,candidate_perfume,score,provider,note
1981-KHAL,Khaltat,Grá,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1980-HIND,Hind Al Oud,Emarati Musk Parfum,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1977-SHIS,Shiseido,Ginza (2021),UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1975-ZARK,ZARKOPERFUME,PINK MOLéCULE 090.09 Eau de Parfum,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
401-ARIA,Ariana Grande,Cloud-eau-de-,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
111-BAC,Baccarat,Rouge 540,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:1|bing:0,weak best=0.590 brand=0.188 name=0.667 cov=1.000 second=0.000
2012-DOL,Dolce & Gabbana,Q QUEEN,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2017-DIE,Diesel,D,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2018-ARM,Giorgio Armani,the notes CODE PARFUM,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1996-LTN,Louis Vuitton,Heures d’Absence (2020),UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1998-LTN,Louis Vuitton,Citrus fragrance for women and men,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1929-BLG,Bvlgari,Le-gemme-tygar-eau-de-,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1921-VIV,Vivienne Westwood,Boudoir-,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1968-DOL,Dolce & Gabbana,LIGHT BLUE ITALIAN LOVE W,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1927-AMG,Amouage,HONOUR - AMOUAGE,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1899-ZARK,Zarko Perfume,The-muse,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1756-LBI,Laura Biagiotti,ROMA - LAURA BIAGIOTTI,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1743-LBI,Laura Biagiotti,Sotto Voce,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1828-LAN,Lancome,O OUI!,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1896-ESC,Escada,Cherry-in-japan,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1886-PARF,Parfums de Marly,DELINA LA ROSE - PDM,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1888-MOR,Moresque,Contessa,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1893-CHA,Chanel,N-1-l-eau-rouge,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1875-ESCE,Escentric Molecules,MOLECULE 05 - ESCENTRIC MOLECULES,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1874-LTN,Louis Vuitton,CALIFORNIA Citrus fragrance for women and men,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1863-LAC,Lacoste,Lacoste Pour Femme,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1860-NAS,Nasomatto,ABSINT - NASOMATTO,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1857-ESCE,Escentric Molecules,Escentric-05,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1852-PRFRO,Profumum Roma,Battito D Ali,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1849-PRFRO,Profumum Roma,Acqua E Zucchero,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1833-SALV,Salvador Dali,Dalimania,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
201-CLIV,Clive Christian,No-1-for-men,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1840-JOO,Joop!,All About Eve Eau de Parfum,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
